"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"17-Oct-2018","    25839.10","    25915.35","    25101.95","    25188.60","      182759960","         4927.19"
"19-Oct-2018","    24966.50","    25277.90","    24922.65","    25085.80","      200900442","         5390.27"
"22-Oct-2018","    25484.25","    25504.75","    25021.35","    25078.60","      172423369","         6136.64"
"23-Oct-2018","    24786.90","    25124.60","    24784.90","    24972.45","      144911236","         5373.28"
"24-Oct-2018","    25312.70","    25356.90","    24839.65","    25064.20","      176623910","         5399.39"
"25-Oct-2018","    24841.50","    24977.35","    24696.85","    24817.45","      215033794","         6855.91"
"26-Oct-2018","    24771.85","    24771.95","    24353.10","    24421.05","      219130974","         5370.59"
"29-Oct-2018","    24647.95","    25023.75","    24404.55","    24959.70","      279844102","         8145.83"
"30-Oct-2018","    24924.75","    25121.50","    24686.85","    24807.75","      257591034","         6320.86"
"31-Oct-2018","    24823.80","    25201.30","    24528.35","    25153.25","      241789641","         6831.52"
"01-Nov-2018","    25285.20","    25401.60","    25129.45","    25323.65","      216612149","         6629.38"
"02-Nov-2018","    25545.35","    25856.25","    25499.15","    25701.65","      297782501","         7743.94"
"05-Nov-2018","    25731.55","    25788.20","    25534.40","    25732.20","      188023500","         5530.01"
"06-Nov-2018","    25747.40","    25860.75","    25558.35","    25598.00","      162090341","         5015.97"
"07-Nov-2018","    25818.10","    25824.40","    25698.10","    25737.50","       18966564","          498.12"
"09-Nov-2018","    25742.55","    25822.75","    25598.75","    25771.00","      145005871","         4275.96"
"12-Nov-2018","    25816.15","    25907.20","    25495.10","    25539.75","      115950746","         3409.51"
"13-Nov-2018","    25422.00","    25796.50","    25384.55","    25768.60","      141869413","         3960.71"
"14-Nov-2018","    25952.40","    26045.05","    25806.70","    25930.15","      194940269","         6211.45"
"15-Nov-2018","    25946.20","    26197.60","    25728.00","    26154.75","      171790148","         4842.53"
"16-Nov-2018","    26205.35","    26332.75","    26122.55","    26245.55","      235671044","         6161.73"
"19-Nov-2018","    26364.60","    26379.10","    26204.35","    26300.70","      172343045","         4593.46"
"20-Nov-2018","    26211.50","    26259.40","    26041.80","    26113.35","      189681759","         4547.93"
"21-Nov-2018","    26105.45","    26342.05","    26060.55","    26262.05","      159319280","         4105.57"
"22-Nov-2018","    26233.65","    26323.95","    25947.85","    25999.45","      153931487","         3578.29"
"26-Nov-2018","    26096.00","    26396.60","    26025.05","    26365.60","      174542785","         4851.74"
"27-Nov-2018","    26286.10","    26491.25","    26268.65","    26443.10","      176101916","         4878.41"
"28-Nov-2018","    26489.65","    26584.95","    26419.65","    26457.95","      255358541","         6055.94"
"29-Nov-2018","    26641.60","    27003.75","    26577.15","    26939.60","      472107464","        11697.23"
"30-Nov-2018","    27009.30","    27012.70","    26764.90","    26862.95","      228852954","         5768.23"
"03-Dec-2018","    27032.90","    27037.10","    26791.65","    26857.55","      205823981","         4958.19"
"04-Dec-2018","    26809.50","    26843.80","    26644.75","    26693.80","      172608502","         4095.43"
"05-Dec-2018","    26572.10","    26627.35","    26443.65","    26519.60","      144478743","         4026.28"
"06-Dec-2018","    26339.10","    26359.90","    26149.45","    26198.30","      139141747","         3758.91"
"07-Dec-2018","    26307.40","    26659.70","    26252.10","    26594.30","      185529990","         7950.15"
"10-Dec-2018","    26073.65","    26336.20","    26072.00","    26102.65","      156932519","         5857.99"
"11-Dec-2018","    25602.25","    26227.90","    25598.95","    26163.40","      264187458","         7737.87"
"12-Dec-2018","    26286.25","    26672.70","    26214.75","    26643.85","      215679380","         5612.44"
"13-Dec-2018","    26844.15","    26951.45","    26723.65","    26816.35","      236399763","         5611.02"
"14-Dec-2018","    26810.85","    26909.00","    26732.70","    26826.00","      168458080","         3706.72"
"17-Dec-2018","    26915.45","    27051.40","    26908.60","    27015.80","      118695599","         3813.30"
"18-Dec-2018","    26917.30","    27210.05","    26840.80","    27174.70","      158144343","         3755.54"
"19-Dec-2018","    27229.05","    27364.35","    27214.30","    27298.40","      215616915","         5199.28"
"20-Dec-2018","    27128.65","    27309.10","    27084.50","    27275.10","      191698257","         4427.58"
"21-Dec-2018","    27261.25","    27369.10","    26823.10","    26869.65","      177065617","         4099.45"
"24-Dec-2018","    26877.05","    26934.85","    26676.95","    26714.75","      128003648","         2772.52"
"26-Dec-2018","    26634.00","    27029.15","    26408.15","    26986.80","      148910853","         3447.39"
"27-Dec-2018","    27200.65","    27239.95","    26845.10","    26878.55","      169903194","         4347.66"
"28-Dec-2018","    27048.40","    27213.45","    27039.60","    27125.25","      109836090","         3095.11"
"31-Dec-2018","    27267.80","    27286.50","    27105.00","    27160.20","       83813951","         2374.23"
